Date/time: 12:20:41.264 PM 14-Aug-2019
seed,247
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,School_id,school-type,school-x-cor,school-y-cor,all-pupils,Value-Added,GCSE-score,App-ratio,max-distance_y7,max-distance_y11,max-distance_unallocated,mean-distance_y7,mean-distance_y11,mean-distance_unallocated,mean-aspiration_y7,mean-aspiration_y11,mean-aspiration_unallocated,mean-attainment_y7,mean-attainment_y11,parents_rank1_y7,parents_rank2_y7,parents_rank3_y7,parents_rank4_y7,parents_rank5_y7,parents_rank6_y7,parents_unranked_y7,success-aspiration_y7,success-attainment_y11,parents_avoiding_y7,parents_moved_y7,mean-attainment_change_y11,count-attainment_change+_y11,count-attainment_change-_y11,parents_strategy1_y7,parents_strategy2_y7,parents_strategy3_y7,parents_strategy4_y7,parents_strategy5_y7,parents_strategy6_y7,parents_strategy7_y7,parents_strategy8_y7
0,5,state,27,-33,0,0.02,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,2,state,16,9,0,0.17,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,8,state,4,-11,0,0.23,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,0,state,-26,-22,0,0.04,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,6,state,-21,-50,0,0.31,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,9,state,-26,-32,0,0.14,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,3,state,22,11,0,0.43,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,7,state,11,33,0,0.1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,4,state,-1,-36,0,0.13,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
0,1,state,34,-6,0,0.05,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,100,0,0,1000,0,-1,0,0,0,0,0,0,0,0,0,0
1,0,state,-26,-22,100,0.04,1,0.01,55.15,-1,25.08,17.94,-1,25.08,53.25,-1,1.1,40.9,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,3,state,22,11,100,0.43,1,0.01,79.16,-1,74.03,33.18,-1,74.03,54.28,-1,1.1,52.47,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,8,state,4,-11,100,0.23,1,0.01,18.79,-1,45.61,10.51,-1,45.61,53.75,-1,1.1,46.57,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,9,state,-26,-32,100,0.14,1,0,34.71,-1,-1,15.59,-1,-1,54.7,-1,-1,44.9,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,6,state,-21,-50,100,0.31,1,0,16,-1,-1,9.59,-1,-1,56.7,-1,-1,51.4,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,5,state,27,-33,100,0.02,1,0,18.03,-1,-1,11.32,-1,-1,56.24,-1,-1,42.63,-1,0,0,0,0,0,0,100,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
1,7,state,11,33,100,0.1,1,0.01,27.07,-1,-1,12.34,-1,-1,55.07,-1,-1,44.06,-1,1,0,0,0,0,0,99,100,0,1000,0,-1,0,0,0,0,0,0,0,100,0,0
